City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Tuktoyaktuk,69.4541,-133.0374,-13.0,77,1,13.8,CA,1614909477
Norman Wells,65.282,-126.8329,5.0,66,75,16.11,CA,1614909477
Aripuanã,-9.1667,-60.6333,72.46,95,100,0.38,BR,1614909479
Khatanga,71.9667,102.5,-26.5,77,0,11.16,RU,1614909480
Sur,22.5667,59.5289,76.6,42,0,3.15,OM,1614909481
Pisco,-13.7,-76.2167,75.2,78,0,13.8,PE,1614909481
Hasaki,35.7333,140.8333,59.0,63,75,6.91,JP,1614909483
Honningsvåg,70.9821,25.9704,27.57,90,100,18.52,NO,1614909484
Petropavlovsk-Kamchatskiy,53.0452,158.6483,30.2,64,75,2.24,RU,1614909485
Lüderitz,-26.6481,15.1594,68.18,57,0,12.33,NA,1614909215
Madimba,-10.4,40.3333,79.92,82,100,11.95,TZ,1614909486
Te Anau,-45.4167,167.7167,55.09,79,97,5.93,NZ,1614909486
Kieta,-6.2167,155.6333,85.19,68,94,11.23,PG,1614909488
Pouébo,-20.4,164.5667,77.29,77,100,5.12,NC,1614909488
Ponta do Sol,32.6667,-17.1,60.01,72,54,3.0,PT,1614909280
Hong Kong,22.2855,114.1577,70.0,88,99,13.47,HK,1614909293
Kavaratti,10.5669,72.642,82.94,56,54,7.02,IN,1614909490
Saint-Pierre,-21.3393,55.4781,77.0,78,0,4.61,RE,1614909490
Yining,29.0361,114.5636,54.07,91,100,0.04,CN,1614909475
Laguna,38.421,-121.4238,64.4,36,1,6.91,US,1614909492
Dzilam González,21.2833,-88.9333,70.45,84,33,5.1,MX,1614909492
Udachny,66.4167,112.4,-25.67,75,0,5.88,RU,1614909211
College,64.8569,-147.8028,8.6,66,1,2.15,US,1614909493
Iqaluit,63.7506,-68.5145,19.4,53,90,6.91,CA,1614909241
Coquimbo,-29.9533,-71.3436,62.6,82,90,2.3,CL,1614909261
Kahului,20.8947,-156.47,78.8,53,40,18.41,US,1614909494
Saint-Philippe,-21.3585,55.7679,77.0,78,0,4.61,RE,1614909206
Nouadhibou,20.931,-17.0347,62.74,79,100,24.9,MR,1614909255
Launceston,-41.45,147.1667,64.99,41,40,11.5,AU,1614909496
Tura,25.5198,90.2201,71.46,28,2,4.63,IN,1614909496
Provideniya,64.3833,-173.3,6.8,78,75,8.95,RU,1614909498
Iquique,-20.2208,-70.1431,75.2,60,75,10.36,CL,1614909498
Jambi City,-1.6,103.6167,82.94,77,100,1.72,ID,1614909498
Torbat-e Jām,35.244,60.6225,40.96,73,47,5.19,IR,1614909500
Saldanha,-33.0117,17.9442,59.0,77,0,6.91,ZA,1614909501
Adrar,20.5022,-10.0711,67.91,20,72,9.13,MR,1614909502
Klaksvík,62.2266,-6.589,35.6,80,75,1.14,FO,1614909502
Cap-aux-Meules,47.3821,-61.8597,19.4,93,100,20.71,CA,1614909503
Shizunai-furukawachō,42.3339,142.3669,41.63,92,85,6.08,JP,1614909504
Juan de Ayolas,-27.4,-56.9,71.74,90,0,4.21,PY,1614909506
Burnie,-41.0667,145.9167,68.0,50,0,21.0,AU,1614909506
Nikolskoye,59.7035,30.7861,21.2,79,0,13.42,RU,1614909508
Peniche,39.3558,-9.3811,57.0,90,100,11.01,PT,1614909300
Vanderhoof,54.0166,-124.0198,37.99,83,100,7.61,CA,1614909508
Codrington,-38.2667,141.9667,59.77,61,98,12.33,AU,1614909534
Broome,42.2506,-75.833,17.6,67,75,13.8,US,1614909535
Saint George,37.1041,-113.5841,62.6,27,1,6.91,US,1614909285
Ixtapa,20.7,-105.2,73.4,83,1,6.91,MX,1614909537
Saint Paul Harbor,57.79,-152.4072,37.4,48,1,5.75,US,1614909537
Pevek,69.7008,170.3133,2.1,91,100,7.09,RU,1614909538
Hermanus,-34.4187,19.2345,63.27,74,22,9.4,ZA,1614909488
Vanimo,-2.6741,141.3028,84.76,71,80,7.94,PG,1614909539
Talnakh,69.4865,88.3972,-4.16,89,100,9.06,RU,1614909540
Puerto Baquerizo Moreno,-0.9,-89.6,79.18,80,52,7.67,EC,1614909542
Payo,-3.7508,103.6372,81.03,79,90,2.1,ID,1614909543
Fare,-16.7,-151.0167,82.38,71,100,1.45,PF,1614909545
Otyniya,48.7377,24.8611,41.92,87,100,4.61,UA,1614909545
Rio Grande,-32.035,-52.0986,70.0,99,100,6.04,BR,1614909369
San Cristobal,7.7669,-72.225,80.6,65,75,2.3,VE,1614909528
Yar-Sale,66.8333,70.8333,9.48,96,100,7.4,RU,1614909545
Bandarbeyla,9.4942,50.8122,73.38,83,91,11.88,SO,1614909547
Rapid Valley,44.0625,-103.1463,51.8,57,1,9.22,US,1614909547
Srednekolymsk,67.45,153.6833,-7.78,88,100,20.74,RU,1614909549
Clyde River,70.4692,-68.5914,-23.8,76,1,12.66,CA,1614909550
Richards Bay,-28.783,32.0377,67.57,85,1,2.28,ZA,1614909550
Puqi,29.7167,113.8833,54.37,93,100,1.88,CN,1614909552
Shelopugino,51.6514,117.5599,-10.23,80,0,3.02,RU,1614909553
Malayal,7.208,121.942,86.0,66,40,11.5,PH,1614909554
Port Macquarie,-31.4333,152.9167,80.6,36,0,14.97,AU,1614909556
Qujing,25.4833,103.7833,64.99,37,0,1.01,CN,1614909557
High Level,58.5169,-117.136,24.8,80,90,3.44,CA,1614909559
Baharly,38.4362,57.4316,45.99,69,74,12.97,TM,1614909559
Constitución,-35.3333,-72.4167,60.49,79,0,12.37,CL,1614909357
Itarema,-2.9248,-39.9167,80.08,79,100,11.01,BR,1614909559
Sioux Lookout,50.1001,-91.917,24.8,68,20,4.61,CA,1614909561
San Patricio,28.017,-97.5169,64.4,72,75,17.27,US,1614909562
El Alto,-4.2714,-81.2147,74.77,79,100,5.97,PE,1614909563
Tingi,-11.3,35.0333,62.1,92,90,1.36,TZ,1614909564
Hualmay,-11.0964,-77.6139,72.64,80,96,5.03,PE,1614909565
Anadyr,64.75,177.4833,1.4,78,75,6.71,RU,1614909567
Bambous Virieux,-20.3428,57.7575,75.2,83,40,6.91,MU,1614909567
Bar Harbor,44.3876,-68.2039,23.0,53,1,10.36,US,1614909567
Bonthe,7.5264,-12.505,78.13,90,88,4.76,SL,1614909569
Ucluelet,48.9329,-125.5528,48.2,93,75,12.66,CA,1614909443
Kaitangata,-46.2817,169.8464,59.45,71,100,1.5,NZ,1614909570
Kabare,-2.4683,28.8242,60.94,82,100,0.87,CD,1614909566
Inírida,3.8653,-67.9239,75.7,88,82,2.62,CO,1614909571
Samarai,-10.6167,150.6667,86.68,66,95,16.2,PG,1614909572
Teknāf,20.8624,92.3058,72.32,76,0,4.29,BD,1614909595
Lamu,-2.2717,40.902,77.14,87,5,11.16,KE,1614909596
Alofi,-19.0595,-169.9187,82.4,83,75,8.05,NU,1614909597
Airai,-8.9266,125.4092,73.94,72,40,1.54,TL,1614909598
São Filipe,14.8961,-24.4956,70.02,77,96,13.27,CV,1614909599
Batemans Bay,-35.7167,150.1833,69.01,54,0,7.0,AU,1614909601
Palmerston North,-40.35,175.6167,70.75,49,47,9.78,NZ,1614909575
Taligaman,8.9044,125.6558,84.24,58,90,2.26,PH,1614909602
Rossosh',51.1209,38.5116,35.1,91,100,11.39,RU,1614909604
Namatanai,-3.6667,152.4333,84.9,71,100,8.19,PG,1614909604
Bayjī,34.9311,43.487,55.18,76,54,12.57,IQ,1614909606
Hobyo,5.3505,48.5268,76.82,79,70,16.89,SO,1614909607
Manokwari,-0.8667,134.0833,82.83,71,100,4.21,ID,1614909608
Tricase,39.9304,18.3553,51.01,100,0,5.75,IT,1614909609
Vung Tau,10.346,107.0843,81.5,63,0,20.89,VN,1614909610
Esperance,-33.8667,121.9,75.2,69,0,12.66,AU,1614909611
Caravelas,-17.7125,-39.2481,74.37,82,81,5.12,BR,1614909613
San,13.3034,-4.8956,80.62,15,2,14.25,ML,1614909602
Mazatlan,25.2,-99.8167,67.8,77,3,7.27,MX,1614909614
Myshkin,57.7897,38.4545,13.84,97,84,4.68,RU,1614909616
Maceió,-9.6658,-35.7353,77.0,88,40,6.91,BR,1614909516
Grand Gaube,-20.0064,57.6608,75.2,83,40,6.91,MU,1614909394
Lebu,-37.6167,-73.65,59.2,82,0,16.75,CL,1614909561
Lubao,14.9167,120.55,84.2,61,75,4.61,PH,1614909618
Carnarvon,-24.8667,113.6333,77.0,88,40,11.5,AU,1614909619
Miyako,39.6367,141.9525,54.48,60,86,9.55,JP,1614909620
Villa Carlos Paz,-31.4241,-64.4978,73.99,85,66,1.99,AR,1614909621
Gimbi,9.1667,35.8333,56.32,67,11,1.81,ET,1614909622
El Vendrell,41.2167,1.5333,51.01,100,0,3.0,ES,1614909623
Alice Springs,-23.7,133.8833,87.8,10,0,14.97,AU,1614909624
Lindenberg,49.3803,8.0986,41.0,89,100,8.3,DE,1614909624
Albion,42.2431,-84.753,24.01,74,1,5.84,US,1614909625
Oloron-Sainte-Marie,43.1944,-0.6107,50.0,87,20,1.14,FR,1614909626
Ginda,30.6945,78.4932,53.6,71,0,3.44,IN,1614909627
Moose Factory,51.2585,-80.6094,-0.4,60,1,9.22,CA,1614909628
Denpasar,-8.65,115.2167,78.8,89,40,12.66,ID,1614909629
Bethel,41.3712,-73.414,30.2,29,1,6.91,US,1614909631
Cabo San Lucas,22.8909,-109.9124,75.2,41,75,8.46,MX,1614909633
Camacha,33.0833,-16.3333,62.6,82,40,18.41,PT,1614909626
Christchurch,-43.5333,172.6333,71.01,32,51,13.8,NZ,1614909577
Praia da Vitória,38.7333,-27.0667,55.4,94,40,7.25,PT,1614909634
Ketchikan,55.3422,-131.6461,42.8,87,90,3.44,US,1614909636
Cairns,-16.9167,145.7667,84.2,70,75,9.22,AU,1614909491
Necochea,-38.5473,-58.7368,64.0,89,100,5.99,AR,1614909575
Presidencia Roque Sáenz Peña,-26.7852,-60.4388,72.43,81,10,6.55,AR,1614909637
Maryville,35.7565,-83.9705,55.4,33,1,8.05,US,1614909607
Tasiilaq,65.6145,-37.6368,35.6,93,90,2.3,GL,1614909655
Okhtyrka,50.3104,34.8988,34.61,94,100,8.79,UA,1614909655
Champerico,14.3,-91.9167,64.99,95,84,5.46,GT,1614909656
Camargo,27.6667,-105.1667,75.25,18,100,19.22,MX,1614909657
Williston,48.147,-103.618,50.0,57,1,11.5,US,1614909098
Saint Anthony,45.0205,-93.218,42.8,42,90,3.44,US,1614909659
Mayskiy,47.6931,40.1025,35.6,87,0,17.9,RU,1614909660
Humaitá,-7.5061,-63.0208,73.56,95,100,0.87,BR,1614909661
Malakal,9.5334,31.6605,78.33,16,0,11.18,SS,1614909663
Ahipara,-35.1667,173.1667,70.81,58,0,7.81,NZ,1614909663
Roald,62.5833,6.1333,32.0,93,40,4.61,NO,1614909663
Pampierstad,-27.7832,24.6877,72.77,32,82,8.41,ZA,1614909664
Longyearbyen,78.2186,15.6401,6.8,66,75,10.36,SJ,1614909665
Calabozo,8.9242,-67.4293,82.96,48,72,5.08,VE,1614909431
Sinnamary,5.3833,-52.95,77.65,85,100,10.67,GF,1614909663
Akçakoca,41.0866,31.1162,44.2,59,0,4.74,TR,1614909666
Yangi Marg`ilon,40.4272,71.7189,44.6,53,40,13.8,UZ,1614909667
Tommot,58.9564,126.2925,-15.66,83,100,10.78,RU,1614909667
Makakilo City,21.3469,-158.0858,80.6,47,40,11.5,US,1614909510
Voi,-3.3945,38.563,70.81,83,80,3.33,KE,1614909601
Rawson,-43.3002,-65.1023,59.85,82,8,10.65,AR,1614909669
Sokur,55.2093,83.319,23.0,68,0,15.66,RU,1614909670
Kupang,-10.1667,123.5833,82.4,94,40,8.05,ID,1614909671
Luau,-10.7073,22.2247,62.91,97,99,2.42,AO,1614909673
Kirakira,-10.4544,161.9205,82.58,73,99,11.9,SB,1614909674
Sawtell,-30.3833,153.1,78.8,61,0,9.22,AU,1614909676
Vila Velha,-20.3297,-40.2925,78.01,78,0,4.61,BR,1614909642
Cooma,-36.2333,149.1333,59.0,44,0,13.8,AU,1614909676
Kemijärvi,66.7131,27.4306,11.39,95,56,6.51,FI,1614909678
Tonantins,-2.8731,-67.8022,71.73,96,100,2.08,BR,1614909679
Port Lincoln,-34.7333,135.8667,66.29,70,93,13.0,AU,1614909680
Barra Patuca,15.8,-84.2833,76.24,79,0,7.05,HN,1614909682
Jiménez,28.3333,-105.4,78.8,7,75,17.27,MX,1614909683
Cacoal,-11.4386,-61.4472,71.73,94,63,1.57,BR,1614909447
Sept-Îles,50.2001,-66.3821,17.6,67,1,16.11,CA,1614909685
Matara,5.9485,80.5353,75.49,79,0,2.26,LK,1614909686
Wukari,7.85,9.7833,74.71,20,0,2.77,NG,1614909687
Nampula,-15.1165,39.2666,73.4,94,90,3.44,MZ,1614909688
Mount Darwin,-16.7725,31.5838,64.04,96,79,2.01,ZW,1614909689
Coyhaique,-45.5752,-72.0662,60.8,67,0,3.13,CL,1614909690
Santa Cruz de la Sierra,-17.8,-63.1667,75.2,89,75,8.05,BO,1614909691
Kutum,14.2,24.6667,52.86,39,42,9.75,SD,1614909692
Amla,21.9333,78.1167,68.32,22,0,3.74,IN,1614909693
Vestmannaeyjar,63.4427,-20.2734,40.93,77,100,10.22,IS,1614909695
Cidreira,-30.1811,-50.2056,71.98,92,100,7.38,BR,1614909696
Esna,25.2934,32.554,55.4,50,0,4.61,EG,1614909698
Aitape,-3.1374,142.3475,86.54,61,100,9.4,PG,1614909699
Kashgar,39.4547,75.9797,46.4,42,20,6.71,CN,1614909715
Novozybkov,52.5396,31.9275,30.2,93,85,8.95,RU,1614909716
Chanika,-5.4167,38.0167,68.25,92,100,3.02,TZ,1614909717
Saskylakh,71.9167,114.0833,-32.6,80,22,7.23,RU,1614909718
Torbay,47.6666,-52.7314,28.99,86,1,14.97,CA,1614909719
Ruteng,-8.6136,120.4721,75.43,69,67,2.21,ID,1614909719
Santa Maria,-29.6842,-53.8069,68.0,100,75,2.3,BR,1614909720
Sanchursk,56.9413,47.2499,5.74,94,9,4.61,RU,1614909721
Ures,29.4333,-110.4,67.15,24,100,8.95,MX,1614909722
Esim,4.8699,-2.2405,79.68,88,27,10.22,GH,1614909574
Kidal,18.4411,1.4078,75.52,18,98,8.03,ML,1614909724
Labytnangi,66.6572,66.4183,4.3,94,100,7.31,RU,1614909725
Waitati,-45.75,170.5667,61.07,57,100,9.33,NZ,1614909727
Touros,-5.1989,-35.4608,78.8,89,75,4.61,BR,1614909729
Souillac,-20.5167,57.5167,75.2,83,40,6.91,MU,1614909729
Zhangjiakou,40.81,114.8794,41.97,59,94,11.97,CN,1614909731
Kenai,60.5544,-151.2583,28.4,58,1,6.91,US,1614909732
Leshukonskoye,64.8989,45.7622,0.01,93,99,5.91,RU,1614909734
Santa Rosa,14.3122,121.1114,87.01,62,20,4.61,PH,1614909735
Shache,38.4167,77.2406,40.98,59,42,3.11,CN,1614909736
Datong,40.0936,113.2914,40.53,60,21,10.33,CN,1614909738
Russell,32.3502,-85.1999,55.4,57,1,5.17,US,1614909738
Newport,51.5877,-2.9984,39.0,85,76,1.99,GB,1614909468
Fort Nelson,58.8053,-122.7002,12.2,67,75,3.44,CA,1614909740
Nuevo Progreso,23.1667,-97.95,70.0,73,98,1.99,MX,1614909740
Dubrovnik,42.6481,18.0922,46.4,57,0,9.22,HR,1614909741
Sidi Ali,36.0998,0.4206,50.09,87,9,3.33,DZ,1614909742
Palana,59.1167,159.9667,-9.69,90,96,19.35,RU,1614909743
Cherskiy,68.75,161.3,-13.61,88,100,6.38,RU,1614909745
Gizo Government Station,-8.103,156.8419,85.33,71,77,16.24,SB,1614909746
Xai-Xai,-25.0519,33.6442,73.13,91,56,3.36,MZ,1614909748
Sisimiut,66.9395,-53.6735,24.12,90,89,12.71,GL,1614909748
Ribeira Grande,38.5167,-28.7,58.06,63,92,4.83,PT,1614909749
Port Augusta,-32.5,137.7667,82.0,64,0,13.8,AU,1614909749
Lamar,33.6668,-95.5836,60.8,44,1,9.22,US,1614909750
Lorengau,-2.0226,147.2712,84.16,75,38,11.72,PG,1614909751
Araouane,18.9048,-3.5265,72.57,18,37,12.84,ML,1614909752
Berlevåg,70.8578,29.0864,25.45,89,100,12.91,NO,1614909752
Valle d'Aosta,45.7667,7.4167,36.0,77,7,3.0,IT,1614909738
Diamantino,-14.4086,-56.4461,69.91,92,62,5.01,BR,1614909754
Sahuaripa,29.05,-109.2333,67.33,25,100,4.68,MX,1614909755
Wana,32.2989,69.5725,51.84,41,0,6.58,PK,1614909757
Bilibino,68.0546,166.4372,-18.22,84,100,7.27,RU,1614909665
Nelson,-41.2833,173.2833,64.69,55,0,12.17,NZ,1614909607
Taltal,-25.4,-70.4833,65.32,80,20,3.78,CL,1614909731
Correntina,-13.3433,-44.6367,69.84,75,41,2.17,BR,1614909758
Nemuro,43.3236,145.575,37.4,87,0,9.22,JP,1614909774
Tilichiki,60.4667,166.1,-15.34,81,89,18.72,RU,1614909774
Halifax,44.6453,-63.5724,32.0,59,93,14.97,CA,1614909712
Balkhash,46.844,74.9804,24.8,86,0,13.42,KZ,1614909776
Yaypan,40.3758,70.8156,42.21,65,62,19.39,UZ,1614909777
Bathsheba,13.2167,-59.5167,78.8,69,40,20.71,BB,1614909777
Marzuq,14.4,46.4667,57.33,44,0,3.69,YE,1614909774
Kruisfontein,-34.0033,24.7314,61.52,93,2,8.34,ZA,1614909779
Port Shepstone,-30.7414,30.455,73.53,83,85,4.81,ZA,1614909780
Balkanabat,39.5108,54.3671,43.84,60,82,15.01,TM,1614909782
Ampanihy,-24.7,44.75,70.65,98,18,3.71,MG,1614909782
Comodoro Rivadavia,-45.8667,-67.5,59.0,94,90,9.22,AR,1614909783
‘Āhuimanu,21.4447,-157.8378,77.0,68,40,11.5,US,1614909785
West Fargo,46.875,-96.9004,39.2,75,1,5.75,US,1614909512
Alyangula,-13.8483,136.4192,86.9,64,42,8.86,AU,1614909785
Chestermere,51.0334,-113.8187,41.0,56,40,6.91,CA,1614909787
Pedernales,18.0384,-71.744,76.24,70,49,0.45,DO,1614909787
Pangnirtung,66.1451,-65.7125,14.29,81,100,5.59,CA,1614909789
Kumul,42.8,93.45,37.9,61,0,7.11,CN,1614909789
Pemba,-12.974,40.5178,75.2,94,75,9.22,MZ,1614909790
Turukhansk,65.8167,87.9833,0.32,89,100,16.96,RU,1614909792
Choma,-16.8065,26.9531,59.47,81,0,4.16,ZM,1614909793
Rāvar,31.2656,56.8055,62.47,46,56,17.31,IR,1614909795
Departamento de Maldonado,-34.6667,-54.9167,72.0,100,40,3.44,UY,1614909796
Muros,42.7762,-9.0603,51.01,92,96,1.01,ES,1614909798
Bengkulu,-3.8004,102.2655,83.37,68,20,3.2,ID,1614909707
Beringovskiy,63.05,179.3167,-0.53,84,49,7.87,RU,1614909799
Arlit,18.7369,7.3853,72.81,19,0,9.89,NE,1614909800
George,-33.963,22.4617,59.0,88,20,3.44,ZA,1614909552
Yumen,40.2833,97.2,32.29,78,99,7.67,CN,1614909801
Churapcha,62.0025,132.4325,-28.8,81,99,7.34,RU,1614909803
El Tigre,8.8875,-64.2454,77.52,72,21,14.43,VE,1614909803
Shelburne,44.0787,-80.2041,17.01,83,39,14.58,CA,1614909788
Tarime,-1.35,34.3667,62.01,93,29,3.83,TZ,1614909733
Olenino,56.2092,33.4889,20.25,96,95,7.87,RU,1614909803
Nuuk,64.1835,-51.7216,39.2,65,16,3.44,GL,1614909615
Fortuna,40.5982,-124.1573,52.0,62,1,11.5,US,1614909792
Kédougou,12.5579,-12.1743,81.93,22,10,7.52,SN,1614909805
Pemangkat,1.1667,108.9667,81.66,72,65,5.46,ID,1614909806
La Serena,-29.9078,-71.2542,62.6,82,90,3.44,CL,1614909807
Kontagora,10.3999,5.4695,76.17,17,38,6.58,NG,1614909808
Hong Gai,20.956,107.0946,68.0,94,90,3.44,VN,1614909810
Byron Bay,-28.65,153.6167,81.0,54,2,11.5,AU,1614909811
Kisangani,0.5167,25.2,79.16,55,97,3.83,CD,1614909811
Aboso,5.3617,-1.9473,75.69,97,58,4.14,GH,1614909813
Gilbert,33.3528,-111.789,66.2,32,1,5.75,US,1614909684
Karasjok,69.4719,25.5112,15.8,92,90,3.44,NO,1614909835
Mount Gambier,-37.8333,140.7667,66.2,52,75,12.66,AU,1614909837
Sitka,57.0531,-135.33,41.0,60,90,4.61,US,1614909839
Charters Towers,-20.1,146.2667,84.81,46,100,8.93,AU,1614909839
Kungurtug,50.5994,97.5228,6.91,83,8,2.55,RU,1614909840
Puri,19.8,85.85,75.2,88,20,3.44,IN,1614909841
Kavieng,-2.5744,150.7967,84.67,72,86,9.24,PG,1614909843
Chara,56.9064,118.2631,-20.88,68,0,1.66,RU,1614909845
Kiama,-34.6833,150.8667,69.8,49,40,19.57,AU,1614909845
Izhma,65.0083,53.9113,-2.6,92,95,4.7,RU,1614909847
Coari,-4.085,-63.1414,74.16,94,100,0.96,BR,1614909848
